Context,Answer 
How does water scarcity affect infectious diseases like COVID-19?,"Access to adequate and safe water and sanitation is essential for communities to practice basic hygiene and reduce transmission of COVID-19. Access to these services in health facilities is crucial to preventing infections, reducing the spread of antimicrobial resistance and providing quality care. One in four health care facilities around the world lacks basic water services, directly impacting over two billion people. Around 80% of the world’s population is already experiencing some level of water scarcity. Climate change further threatens the availability of water for consumption, food production, personal hygiene, and medical care, including for infectious disease."
What can the global response to COVID-19 teach us about our response to climate change?,"The COVID-19 pandemic is a Public Health Emergency of International Concern (PHEIC), which has claimed lives, and severely disrupted communities. Climate change is a gradually increasing stress that may be the defining public health threat of the 21st century. Nonetheless, common lessons can be drawn:Ensuring universal health coverage (UHC), through well-resourced, equitable health systems, is essential to protect the public from both short and long-term health threats.Guaranteeing global health security requires an all-hazards approach to preparedness, from infectious disease outbreaks, to extreme weather events, to climate change.  Ensuring access to the environmental determinants of health, such as clean air, water and sanitation, safe and nutritious food, is an essential protection against all health risks. WHO estimates that avoidable environmental risks cause about a quarter of the global health burden.Early action saves lives. Delay in responding to clear evidence of threats, whether from pandemics, or from climate change, increases human and socioeconomic costs. Inequality is a major barrier in ensuring health and wellbeing, especially for the most vulnerable in society. Social and economic inequality manifests in unequal health risks. When faced with public health threats of a global scale, such as COVID-19 or climate change, we are only as strong as our weakest health system."
What is contact tracing?,"Contact tracing is the process of identifying, assessing, and managing people who have been exposed to a disease to prevent onward transmission. These people are called contacts. Contact tracing for COVID-19 requires identifying people who may have been exposed to SARS-CoV-2, the virus that causes COVID-19, and following them daily for 14 days. The goal is to stop transmission of the virus by reducing the number of people who are circulating with the virus."
How does contact tracing work?,"Contact tracing is a process that includes several steps:Defining contacts: a contact is a person who has been exposed to someone else infected with the virus that causes COVID-19, from 2 days before to 14 days after the person started to show symptoms. Identifying contacts: this is done through an interview with the person infected with the virus that causes COVID-19 to find out who they have been in contact with.Informing contacts: each contact should be contacted by phone or in person to determine if they meet the definition and then be monitored. Each person confirmed as a contact should be informed about the goal of contact tracing, the process (including how their personal data will be protected) and who to contact with any concerns or questions. Additional essential information should be provided on how and when to quarantine, symptoms to look for, and what to do if the person becomes unwell. Managing and monitoring contacts daily: the contact person identified should be encouraged and supported to stay in quarantine, which means to separate from others in order to limit the possibility of exposing other people to infection should they become ill. During the quarantine period, daily monitoring should be implemented to monitor their health for any sign of illness. The monitoring ends 14 days after the person was last in contact with the person infected with the virus that causes COVID-19.Data processes and analysis: The information on each contact person is gathered in a database and updated daily monitoring on the person’s health status. These processes vary from country to country. See question What should be considered for data protection?"
Who is defined as a contact?,"A contact is defined as anyone who had direct contact or was within 1 metre for at least 15 minutes with a person infected with the virus that causes COVID-19, even if the person with the confirmed infection did not have symptoms. Contacts should remain in self-quarantine during the 14-day monitoring period to limit the possibility of exposing other people to infection should they become ill."
Can contact tracing help in controlling spread of the virus?,"Yes, when systematically applied, contact tracing will break the chains of transmission, meaning that the virus transmission can be stopped. Contact tracing is thus an essential public health tool for controlling infectious disease outbreaks, such as COVID-19."
When should contact tracing be implemented?,"Comprehensive contact tracing should be implemented as soon as cases or clusters are identified. During intense transmission, contact tracing may be difficult but should be carried out as much as possible, focusing on vulnerable and household contacts, healthcare workers and high-risk closed settings (e.g., dormitories, institutions, long-term care homes and other long-term facilities). When countries have passed a peak in transmission and the numbers of sick people are decreasing, particularly when stringent public health and social measures are being adjusted, it is critical to maintain rapid identification of sick people and contact tracing. This identification and investigation break new transmission chains."
What happens if you are a contact?,"If you are a possible contact, you should first be contacted by phone or in person by health authorities to determine if you meet the contact definition, which is anyone who has had direct contact or was within 1 metre for at least 15 minutes with a person infected with COVID-19. If you are confirmed as a contact, you will then be encouraged and supported to be in quarantine, which means to separate yourself from others, and to monitor your health for any signs of illness. The monitoring ends 14 days you were last into contact with the person infected with COVID-19.By participating in contact tracing, you are contributing to controlling spread of the virus that causes COVID-19 in your area; vulnerable people will be protected, and more restrictive measures, such as general stay-at-home orders, might be avoided or minimized. This is an act of solidarity for your community."
Who is needed for successful contact tracing?,"Everyone is needed for successful contact tracing and contact tracing begins with engaged communities. It requires individuals to agree to daily monitoring, to be willing to report signs or symptoms of COVID-19 promptly, and be prepared to go into quarantine for at least 14 days, or into isolation if they become symptomatic. Transmission of the virus that causes COVID-19 can only be stopped if we all play our role to protect our family, friends and community.Contact tracing is only possible with contact tracers trained in the basics of virus transmission, prevention and control measures, how to monitor signs and symptoms, as well as the ethics of public health surveillance and quarantine. Ideally, contact tracers are recruited from their own community, including local government, civil society and non-governmental organizations, university students and community volunteers."
What are the tools used for contact tracing?,"Contact tracing is carried out by people who are assigned and trained to carry out this essential activity to break the chains of transmission. Electronic tools and information technology are not essential for contact tracing but can help to make it more efficient and are useful if contact tracing needs to be done on a large scale. Many digital tools have been developed to assist with COVID-19 contact tracing and case identification. These should not be considered as single solutions for contact tracing, but rather as complementary tools and should be carefully identified and analysed for technical, cost, and ethical issues.The Go.Data software application, for example, has been designed to support contact tracing and surveillance in outbreaks such as Ebola virus disease. Other tools exist for self-reporting of symptoms by contacts, as well as proximity applications that track people’s movements to indicate potential exposures to and from other persons. More on contact tracing in the context of COVID-19: https://www.who.int/publications/i/item/WHO-2019-nCoV-Contact_Tracing-Tools_Annex-2020.1"
What should be considered for data protection?,"The ethics of public health information, data protection, and data privacy must be considered at all levels of contact tracing activities, in all training activities for contact tracing, and when using contact tracing tools. In particular:Safeguards must be in place to guarantee privacy and data protection in accordance with the legal frameworks of the countries where systems are implemented. Everyone involved in contact tracing must adhere to the ethical principles of handling personal information, to ensure responsible data management and respect for privacy throughout the process. How data will be handled, stored, and used needs to be communicated to those concerned in a clear and transparent manner. This is important for buy-in and engagement as well as to avoid misperceptions that could jeopardize the effectiveness of a contact tracing programme. Digital tools used for contact tracing should be assessed before use to ensure safeguarding data protection according to national regulations."
Is contraception/ family planning safe to use during the COVID-19 pandemic?,"Yes. All modern methods of contraception are safe to use, including during the COVID-19 pandemic.  


If you have had a baby in the last six months or have a health condition, such as diabetes, high blood pressure, or breast cancer – or if you smoke – seek advice from a health care professional to ensure you are using a method of contraception which is suitable and safe for you."
I want to avoid getting pregnant during the COVID-19 pandemic. What can I do?,"If you do not want to become pregnant, you should start or continue to use your contraceptive method of choice. You may be able to access information and contraceptive services from a healthcare provider by phone or online.  If you cannot access these services you may opt for a method that is available without a prescription (such as condoms, spermicides, pills, or emergency contraceptive pills) from a nearby pharmacy or drug shop."
I can’t access my contraceptive method of choice. What do you advise?,"If you cannot access your contraceptive method of choice – perhaps because it requires a prescription, or because it can only be given to you by a health worker – consider using condoms, fertility awareness-based methods, lactational amenorrhea (if you are exclusively breastfeeding), or other contraceptive methods that are recommended for self-care in your country.  


Depending on the situation in your country, methods recommended for self-care could include the pill or mini-pill, emergency contraception pills, and DMPA-SC (Sayana Press®)."
What is the best contraceptive method to use during the COVID-19 pandemic?,"All modern methods of contraception help to prevent pregnancy. Women and their partners can choose any modern contraceptive method that is acceptable to and safe for them. The best method of contraception is the one that works well for you.
There is a wide variety of modern methods, one of which may suit you best. For more information see here. 
Condoms, when they are used consistently and correctly, are the only method of contraception that help to prevent unintended pregnancy and protect against sexually transmitted infections, including HIV.  They can be used together with other methods of contraception to protect against both unintended pregnancy and sexually transmitted infections.
Emergency contraceptive pills can prevent up to 95% of pregnancies when taken within 5 days after intercourse, and they can be taken by anyone with or without a health condition"
I want to change my contraceptive method – is this possible?,"Yes. It may be difficult however, to access all the methods of contraception that are normally available in your country due to restrictions on movement, lack of supply, as well as increased demands on health providers and services.  


If you have a pre-existing health condition, consult a provider to find out what options suit you best, and which are available and feasible. Seek advice and information from your health provider and consider using methods that do not have medical restrictions like minipills, condoms, fertility awareness-based methods, diaphragm, spermicides or lactational amenorrhea if you are exclusively breastfeeding."
I want to remove or replace my implant or IUD – can I do this during COVID-19 pandemic?,"Removal of long acting methods such as implants or IUDs, after the recommended period of use (and routine follow up appointments) may not be prioritized by your country’s health system during this health emergency. Seek advice from your health provider. If you are experiencing side effects or desire urgent removal for other reasons, contact a provider to find out what options suit you best, and which are available and feasible. If, due to restrictions on movement due to the COVID-19 pandemic you cannot have your long acting method removed straight away, it is important to use another method of contraception to avoid pregnancy at this time.   There are no medical problems caused by delaying removal of long acting methods such as implants or IUDs. Do not try to remove the contraception method yourself; wait until you are able to access health care from a trained provider."
"Why is providing contraception/ family planning, as well as family planning services and information, important during the COVID-19 pandemic?","Contraception and family planning information and services are life-saving and important at all times. Sexual activity does not cease with the COVID-19 pandemic, it is therefore crucial to ensure that people are able to access rights-based services and information to initiate and / or continue use of contraception. By preventing unintended pregnancies, contraception helps to protect girls and women from the negative health consequences of unintended pregnancies, which can save their lives. Contraception reduces the need for abortion, meaning that women and girls are less at risk of unsafe abortion, which again can be lifesaving.  Condoms, when used consistently and correctly, help to prevent both unintended pregnancies and sexually transmitted infections (including HIV).  In addition, by preventing the negative health consequences associated with unintended pregnancies, unsafe abortion and sexually transmitted infections (including HIV), contraception can help alleviate additional pressure on already-stretched health systems which are working hard to address COVID-19."
I am a policy maker. What can I do to make sure people can access contraception and family planning information and services?,"Plan and develop innovative strategies to ensure as many eligible people as possible can access information and contraception during this period. 


Increase use of mobile phones and digital technologies to help people make decisions about which contraceptive methods to use, and how they can be accessed.  


Enable health care workers to provide contraceptive information and services as per national guidelines to the full extent possible.  This is particularly important where pregnancy poses a high risk to health.   


Expand availability of contraceptive services (including both information and methods) through places other than healthcare facilities, such as pharmacies, drug shops, online platforms and other outlets.  This can be with or without prescription depending on national guidelines and contraceptive method.   


Relax restrictions on the number of repeat issues of prescription-only hormonal contraceptives that can be issued. 


Ensure access to emergency post-coital contraception, including consideration of over the counter provision. 


Enable access to contraception for women and girls in the immediate post-partum and post abortion periods when they may access health services."
I am a programme manager. What can I do to help people access contraception and family planning information and services?,"Increase use of telehealth for counselling and sharing of messages related to safe and effective use of contraception and for selection and initiation of contraceptives. 


Ensure adequate inventory to avoid potential stock outs at all levels of the health system. 


Prepare advisories for users on how they can access contraceptive information, services and supplies. 


Monitor contraceptive consumption in your area to identify any potential pitfall and shortage.


Increase availability and access to the contraceptives which can be used by the client without service provider support."
What is dexamethasone and does it work against COVID-19?,"Dexamethasone is a corticosteroid used in a wide range of conditions for its anti-inflammatory and immunosuppressant effects.It was tested in hospitalized patients with COVID-19 in the United Kingdom’s national clinical trial RECOVERY and was found to have benefits for critically ill patients.According to preliminary findings shared with WHO (and now available as a preprint), for patients on ventilators, the treatment was shown to reduce mortality by about one third, and for patients requiring only oxygen, mortality was cut by about one fifth."
Were all patients in RECOVERY given dexamethasone?,"Eligible patients were randomly allocated between several treatment arms. Dexamethasone was administered as an oral (liquid or tablets) or intravenous preparation, at a dose of 6 mg once daily for ten days, in one of the arms.In pregnancy or breastfeeding women, patients were randomized to prednisolone (a milder corticosteroid) 40 mg administered by mouth."
Does WHO recommend the use of dexamethasone for COVID-19 patients?,"On 2 September 2020, WHO issued an interim guideline on the use of dexamethasone and other corticosteroids for the treatment of COVID-19. The guidelines were developed by a panel of WHO and international experts and investigators and is based on evidence collected from seven clinical trials.


The guidelines make two recommendations:


Recommendation 1:


WHO strongly recommends that corticosteroids (i.e. dexamethasone, hydrocortisone or prednisone) be given orally or intravenously for the treatment of patients with severe and critical COVID-19.


Recommendation 2:


WHO advises against the use of corticosteroids in the treatment of patients with non-severe COVID-19, unless the patient is already taking this medication for another condition.


Time and duration of medication should be once daily for 7-10 days.


Daily dose should be 6 mg of dexamethasone, equivalent to 160 mg of hydrocortisone (i.e. 50 mg every 8 hours or 100 mg every 12 hours), 40 mg of prednisone, 32 mg of methylprednisolone (8 mg every 6 hours).


The panel of experts made its recommendation on the basis of the moderate certainty evidence of a mortality reduction of 8.7% and 6.7% in patients with COVID-19 who are critically or severely ill."
Is dexamethasone on the WHO Essential Medicines List?,"Yes, dexamethasone has been on the WHO Model List of Essential Medicines (EML) since 1977 for several indications in multiple formulations. Since 2013, dexamethasone (Injectable formulation) has been indicated for respiratory distress syndrome in new-borns. Prednisolone is also on the EML and was included in 1984.Dexamethasone and prednisolone are included on the EML for the following indications:allergic or hypersensitivity conditions, without further specifying the typepain and oedema due to malignancy in palliative carenausea and vomiting,as part of treatment protocols for some blood tissue cancers.These indications are broad and can also include cytokine-related lung injury and as prevention or treatment of acute respiratory distress syndrome (ARDS) associated with severe acute respiratory infections (i.e. viral pneumonia). Both medicines are also recommended in children."
Is dexamethasone prequalified by WHO?,"Yes, dexamethasone solution for injection 4mg/ml in 1ml ampoules, manufactured by Kern Pharma SL, Spain, has been prequalified for its use in the management of diseases associated with HIV/AIDS, but not for COVID-19.Another dexamethasone injection product is currently under assessment.Manufacturers interested in prequalifying their product can contact the Prequalification Team at [email protected]  for further information."
What dose was used in the Recovery trial?,"Dexamethasone was used in the Recovery Trial in oral (liquid or tablets) or intravenous preparation 6 mg once daily for ten days.In pregnancy or breastfeeding women, prednisolone 40 mg administered by mouth (or intravenous hydrocortisone 80 mg twice daily) should be used instead of dexamethasone.Note: It is permitted to switch between the two routes of administration according to clinical circumstances.Source: Page 9 of 35 RECOVERY [V6.0 2020-05-14] ISRCTN50189673 EudraCT 2020-001113-21"
What are the typical side effects of dexamethasone?,"Dexamethasone is generally safe. It presents a favourable benefit-risk profile, particularly in patients with severe forms of pneumonia, while the benefit is less prominent in patients with non-severe pneumonia. As the treatment is short, even at high doses, corticosteroids are not associated with serious side effects. Potentially higher blood glucose levels (hyperglycaemia) are temporary.Prolonged use (I.e., used for more than two weeks) may be associated with adverse events such as glaucoma, cataract, fluid retention, hypertension, psychological effects (e.g., mood swings, memory issues, confusion or irritation), weight gain, or increased risk of infections and osteoporosis.To reiterate: All these adverse events are not associated with short term use (with the exception of hyperglycaemia that can worsen diabetes)."
How do the doses used in the RECOVERY trial compare with those used normally?,The Recovery trial used dexamethasone 6mg daily oral or intravenous for ten days. Higher daily doses of dexamethasone have been used for other indications for a long time and are known to be safe.
Can steroids be used in the elderly/children/pregnancy?,"They can be used in children and the elderly. In pregnancy, the Recovery trial used prednisolone orally or hydrocortisone by intravenous infusion instead of dexamethasone. Steroids are ubiquitous in terms of geographic use."
Is dexamethasone available across the world?,"Yes. Dexamethasone is off-patent and has been marketed in different formulations (e.g., tablets, liquid, solution for injection) for many years. It is generally available in most countries. There are several manufacturers of the product. One manufacturer has already been prequalified by WHO (Kern Pharma in Spain) while another is under assessment.The most common formulations are:Tablets: 0.5mg, 0.75mg, 1mg, 1.5mg, 2mg, 4mg and 6mgOral Solution: 0.5mg/5ml, 20mg/5ml and 1mg/ml (concentrate) Injectable suspension: 4mg/ml, 20mg/5mlIn recent years there have been occasional reports of shortages of this product. It is important to quickly understand the projected volumes for COVID-19 utilization and manufacturing capacity to help assess the impact for existing indications and the potential need for substitute therapies, to ensure all patients retain access to a safe, effective, quality, affordable product to meet their therapeutic needs."
How many API suppliers are there?,"There are many manufacturers of Active Pharmaceutical Ingredients (API) around the world, ensuring a large and diversified capacity of production for this product. So far, we have identified ten potentially quality approved suppliers from Asia, North America, and Europe."
Is dexamethasone affordable/what is the price per treatment?,"Dexamethasone is an off-patent, common supportive treatment option and is generally affordable. WHO 2016 and 2019 surveys of different health facilities in low- and middle-income countries indicate that dexamethasone was available to patients at a median price of $0.33 per 4mg/ml injection ampoules (range: US$0.13-$3.5). Major UN procurers may be able to supply dexamethasone for a median price of $0.092 per 4mg/ml injection ampoule."
Are there any import restrictions?,"There are likely no restrictions, as dexamethasone is authorized worldwide."
What are the risks of Substandard or Falsified (SF) products?,"There are 21 records of falsified dexamethasone in the WHO Global Surveillance and Monitoring System database with the most recent one received from the Eastern Mediterranean in February 2020.It is expected that, following the high level of publicity given to the medicines, incidents of substandard and/or falsified dexamethasone products will occur. This is based on experience with reports of falsified chloroquine products when hydroxychloroquine was thought to be a potential treatment for COVID19Increased vigilance throughout all supply chains and due diligence in any procurement activities are essential. Member States and regulatory authorities are encouraged to promptly report any incidents of substandard or falsified dexamethasone to the WHO global surveillance and monitoring system."
What is the worldwide production capacity?,Work is ongoing to determine producers of licensed and quality assured products. Further assessments of additional production capacity will be undertaken.
Can I adapt previous frameworks for pandemic influenza to guide resource allocation for COVID-19?,"Many ethical frameworks have been produced for resource allocation, some of which have
been included in pandemic plans. Those frameworks provide useful guidance in the current
scenario. Yet, when applying them, we must take into account the type of health care
resource, the context, and the stage of the pandemic. That is, while the ethical principles that
apply to resource allocation might be the same in different pandemics, they can lead to
different decisions, given contextual circumstances. For example, this pandemic appears to
significantly impact older adults (those 60 years of age or older), and such characteristics are
relevant to shaping priorities for the allocation of resources during COVID-19. As a result, it
may be inappropriate to use critical care triage guidelines that have age cut-offs that
deprioritize or exclude those aged over 60 years.When applying ethical guidelines for resource allocation, we should consider the extent to
which resources are overwhelmed in the current context. It would be inappropriate, for
instance, to exclude population groups from being allocated a resource (for example,
ventilators) at the outset of a pandemic when capacity remains. When resources are scarce,
though – when there is an insufficient supply to meet everyone’s needs – resource allocation
should be guided by well established, broadly applicable ethical principles, unless there are
characteristics of the outbreak that justify different courses of action. Irrelevant
characteristics of populations within countries, such as ethnicity, race or creed, should play
no role in any resource allocation in any pandemic. This reflects our commitment to treating
people with equal respect."
"Are the ethical considerations the same for all medical countermeasures, including therapeutics, vaccines and personal protective equipment (PPE)?","Generally, the considerations may be different. The allocation of different resources may find
ethical justifications in different principles or values. For instance, once a novel vaccine is
found to be safe and effective, to prioritize those at highest risk, as well as populations like
health care workers who may be more likely to serve as vectors for transmission, is justified.Within those subgroups, some suggest that a lottery-based (i.e., random) allocation may be
justified, given that resources will be limited and we can assume nearly equal benefits will be
derived from any recipient within that group. This is not the case, however, for other
resources such as ventilators, where some individuals may derive significantly more benefit
than others."
What is the basis for deciding who should have priority access to scarce resources?,"The ethical basis for deciding which individuals or groups might be prioritized, including the principles to be applied, are presented in the below table:Ethical considerations when deciding who to prioritizePrincipleDescriptionPractice implicationEqualityEach person’s interest should count equally unless there are good reasons that justify the differential prioritization of resources.
                Irrelevant characteristics of individuals, such as race, ethnicity, creed, ability or gender, should not serve arbitrarily as the basis for the differential allocation of resources.
                This principle can be used to justify the allocation of resources by a lottery – that is, randomly by chance – or by a system of first come, first served. May be most appropriate to guide the allocation of scarce resources among individuals or populations who can be expected to derive the same benefit from the resource, for example, vaccines among high-risk populations, or ventilators among
                    those with similar clinical indicators for benefit.Best outcomes (utility)This principle can be used to justify the allocation of resources according to their capacity to do the most good or minimize the most harm, for example, using available resources to save the most lives possible.
                May be most appropriate to guide the allocation of scarce resources that confer substantially different benefits to different individuals, for example, ventilators to those expected to derive the most benefit.Prioritize the worst offThis principle can be used to justify the allocation of resources to those in greatest medical need or those most at risk.May be most appropriate to guide the allocation of resources that are designed or intended to protect those at risk, for example, PPE for health care workers, vaccines for those most at risk of infection and severe illness, or those most
                    in need, as in the case of provision of drugs in short supply to those needing them most urgently.Prioritize those tasked with helping othersThis principle can be used to justify the allocation of resources to those who have certain skills or talents that can save many other people, or because something is owed to them on account of their participation in helping others.May be most appropriate to guide the allocation of resources to health care workers, first responders, etc.Allocation principles may be relevant or justified at different stages of resource scarcity (from less scarcity to more scarcity). For example, where little scarcity exists, the allocation of resources such as ventilators may be most justified by the
    principle of first come, first served (which promotes the value of equality). When those resources become increasingly scarce, their allocation may be justified according to a principle that prioritizes those most in need. With even greater scarcity,
    a principle that aims to maximize benefit from the resource may be most justified. At each stage, allocation should aim to promote equality – that is, first come, first served, or random allocation, when no relevant factors distinguish individuals
    within a particular scheme of allocation (for example, among those with similar needs, or among those who can be expected to benefit similarly from the resources, or among those that are at similar levels of risk).In addition, multiple principles may be combined within an allocation scheme. For example, an allocation scheme for PPE might find its justification in a principle prioritizing those most at risk as well as a principle prioritizing those tasked with helping
    others, which would support priority allocation of PPE to health care workers."
"How should decision-makers make considered ethical judgements about these matters, given the likelihood that there will not be enough of a resource? Who should be involved in decision-making on scarce resources?","For most decisions, multiple ethical values and principles will be relevant to deliberations
about how to allocate resources. This is likely to generate some disagreement, because
different people may weigh the values differently. Some may prioritize equality while others
might put more emphasis on best outcomes or prioritization of the worst-off. For this reason,
it is imperative that the different values be weighed and applied to specific allocation issues
using a fair process.A fair process for allocating scarce resources must promote certain ethical values:Transparency. In a transparent process, the decisions and their justifications should
be made public. This means that the population should be informed about the criteria
guiding the decisions.Inclusiveness. Those affected by allocation decisions – including individuals,
communities or countries – should be able to exert at least some influence over the
decision-making process as well as the decision itself. This also means that decisions 
4
should be open to challenge and potentially revisable, perhaps through an appeal
process. Consistency. Decisions should be consistent so that all persons in the same categories
are treated in the same way. This means that favouritism towards one’s own family,
religious or political compatriots, or otherwise, is not appropriate. All forms of
corruption that are at variance with this principle should be challenged and
condemned. Accountability. Those making decisions about allocation must be accountable for
those decisions – that is, they should justify their decisions and be held responsible for
them. A fair process means that allocation decisions should not be made by
individuals, by individual pharmaceutical companies, or, in the case of allocation
between countries, by a single country. Resources such as vaccines and therapies
should not be stockpiled outside the system of fair allocation.The fair allocation of resources is one that is valuable in itself precisely because it is fair.
However, it may also be valuable because a fair system engenders solidarity and trust,
which are vital to the successful and sustained collective response necessary for dealing
effectively with any outbreak."
"What are the key ethical considerations that governments, vaccine manufacturers and funders should take into account to ensure a fair distribution of vaccines globally?","Countries are equally vulnerable to COVID-19 and have a shared responsibility, grounded in solidarity, to collaborate globally to mitigate the outbreak. Each government has special obligations to its own citizens, but the fair allocation of vaccines globally
    requires us not to simply appeal to self-interest, claims of resource ownership and the prioritization of compatriots. Vaccines should be allocated in a way that prioritizes those who fall into the categories presented in the below table. (Where individuals
    or populations fall into multiple categories, they should receive even higher priority.)Priority populations, and rationale for prioritizationPriority populationRationale for prioritizationThose at greatest risk of becoming infected and seriously illMaximize benefit of vaccineThose who, if vaccinated, would prevent the greatest spread of the virusMaximize benefit of vaccineThose who have volunteered to participate in research aimed at developing the vaccineReciprocal obligation to those who were voluntarily put at risk to aid in this effortThose falling into each category may change over time."
What conclusions can we draw about the fair allocation of scarce resources within countries during the COVID-19 outbreak?,"Health care workers (caring for patients) and first responders can justifiably be
prioritized when allocating some resources because of their contribution to the health
and well-being of the community. Their health helps preserve the health of others.Participants of research aimed at developing vaccines, therapies or other critical
resources should receive some priority in receiving those resources because they have
also helped save others by their participation. This is not an absolute priority – for
example, it should not take precedence over giving priority to those most at risk in the
case of resources such as vaccines.While the principle of first come, first served is often applied when allocating
resources in health care settings, it is rarely appropriate in an emergency. In practice,
it is very likely to favour certain groups, such as those closest to a distribution centre,
those with access to better information, or those who are most well-off.Younger populations appear to be at lower risk in the COVID-19 context.
Consequently, the principle of youngest first should have low priority for vaccine, but
perhaps may have more weight if they do become sick and need critical care
resources.The allocation of different resources may find ethical justification in different
principles or values. For instance, if a novel vaccine is found to be safe and effective,
a lottery-based allocation may be justified among those as highest risk, the old and
those with co-morbidities, if they outnumber available vaccines.Maximizing utility should be balanced with the principle of priority to the worst-off:
centralizing the availability of resources in larger centres may extend their benefits to
more people, but may exclude isolated populations and challenge our concern for
those at highest risk."
How can food businesses remain safe from virus contamination?,"The main priority is to keep the virus out of the food environment. Several key measures are required including upgrading of cleaning and sanitation measures, disinfecting surfaces and high-touch points, educating staff on the virus and how to protect themselves and others, reinforcing protocols such as physical distancing, hand washing, and improved security with people staying in their vehicles/sanitizing hands when handing out documents and other material."
Should grocery store workers wear gloves? Masks?,"Disposable GlovesGloves may be used by food workers but must be changed frequently and hands must be washed between glove changes and when gloves are removed. Gloves must be changed after carrying out non-food related activities such as opening/closing doors by hand, and emptying bins. Food workers should be aware that wearing gloves can allow bacteria to build up on the surface of the hands, so hand washing is extremely important when gloves are removed to avoid subsequent contamination of food. Food workers should not touch their mouth, nose and eyes when wearing gloves.Disposable gloves can give a false sense of safety and should not be used in the food work environment as a substitute for hand washing. The COVID-19 virus can contaminate disposable gloves in the same way it can get onto workers hands and contact surfaces. Removal of disposable gloves can lead to contamination of hands. Wearing disposable gloves can give you a false sense of security and may result in staff not washing hands as frequently as required.Handwashing is a greater protective barrier to infection than wearing of disposable gloves. Food businesses need to ensure adequate sanitary facilities are provided and ensure food workers thoroughly and frequently wash their hands. Soap and water is adequate for hand washing. Hand sanitisers can be used as an additional measure but should not replace hand washing.Wearing of Face MasksWHO advice on the use of masks in the context of COVID-19 should be followed. Face Masks do not have to be routinely used by food workers to protect against transmission of COVID-19. However, for some food processing activities, such as working in abattoirs or handling cooked, ready-to-eat foods, wearing face masks is a usual practice.WHO recommends that face masks should be used if a person is sick with symptoms of COVID-19 (especially coughing) or looking after someone with suspected or confirmed COVID-19.However, a food worker who is sick or who has symptoms of COVID-19 should not be allowed to work in grocery stores or other food businesses and should be excluded from work until free of symptoms or deemed fit for work by a medical doctor."
What is the protocol when an employee working in a food business becomes ill with COVID-19?,"Staff who are feeling unwell should not report to work and should seek medical advice. However, in the event that a food worker becomes unwell in the workplace with typical symptoms of COVID-19, they should be removed to an area away from other people.
    If possible, find a room or area where they can be isolated behind a closed door, such as a staff office. If it is possible to open a window, do so for ventilation. Arrangements should be made for the unwell employee to be removed quickly from the
    food premise.The employee who is unwell should follow national guidelines for reporting cases/suspect cases of COVID-19. Whilst they wait for medical advice or to be sent home, they should avoid any contact with other employees. They should avoid touching people,
    surfaces and objects and be advised to cover their mouth and nose with a disposable tissue when they cough or sneeze and put the tissue in a bag or pocket and then dispose of the tissue in a bin. If they do not have any tissues available, they should
    cough and sneeze into the crook of their elbow. If they need to go to the bathroom whilst waiting for medical assistance, they should use a separate bathroom, if available.All surfaces that the infected employee has come into contact with must be cleaned. Alcohol based sanitizers/surface disinfectants should be used for cleaning purposes. In general, alcohol-based disinfectants (ethanol, propan-2-ol, propan-1-ol) have been
    shown to significantly reduce infectivity of enveloped viruses like COVID-19 virus, in concentrations of 70-80%. Common disinfectants with active ingredients based on quaternary ammonium compounds (QUATS) and chlorine would also have virucidal properties.
    All staff should wash their hands thoroughly for 20 seconds with soap and water after any contact with someone who is unwell with symptoms consistent with coronavirus infection.If an employee is confirmed as a case of COVID-19 it will be necessary to notify all close contacts of the infected employee so they too can take measures to minimise further risk of spread. WHO definitions of a contact of a COVID-19 case can be found 
    here. Examples of contacts in the food businesses could include any employee who was in face-to-face or physical (i.e., touching) contact; any employee who was within 1 meter with the confirmed case; anyone who has cleaned up any bodily fluids
        without adequate PPE (e.g. gloves, overalls, protective clothing); employees in the same working team or workgroup as the confirmed case, and any employee living in the same household as a confirmed case.WHO recommends that contacts be quarantined for 14 days from the last point of exposure to the confirmed case.22 At a minimum, staff who have had
    close contact with the infected employee should be asked to stay at home for 14 days from the last time they had contact with the confirmed case and practice physical distancing. If they become unwell at any time within their 14-day isolation period
    and they test positive for COVID-19, they will become a confirmed case, and should be managed as such.Staff who have not had close contact with the original confirmed case should continue taking the usual precautions and attend work as usual. Organising employees into small teams or workgroups will help to minimise disruption to work processes in the event of an employee reporting sick with symptoms of COVID-19. Closure of the workplace is not recommended.More detailed information can be found in COVID-19 and food safety: guidance for food businesses.For more information on contacts of COVID-19 confirmed cases, see WHO guidance on surveillance and case definitions."
